,Unnamed: 0,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,X,Y,datetime,day,hour,geometry,SDoT_pop,count_따릉이,학교_초,학교_중,학교_고,학교_대,따릉이_대여소수,pubs,speedbump,busstop,subway,bus,temp,humidity,dust
10,10,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,31세,경상,승용,남,25세,상해없음,202349.81686639,445311.20325704,2021-01-24 18:00:00,6,18,POINT (958157.9999999559 1945437.9999999162),10.0,0,1,0,0,0,0,32,178,5,4,91,20.125,58.0,20.166666666666664
11,11,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,19세,상해없음,이륜,여,52세,경상,203118.59351414,443903.73274478,2021-01-24 21:00:00,6,21,POINT (958918.9999999647 1944026.9999999201),3.0,0,1,0,0,0,1,44,81,3,3,111,20.125,58.0,20.166666666666664
12,12,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,40세,기타불명,보행자,여,29세,경상,202489.37057253,444087.4638423,2021-01-25 19:00:00,0,19,POINT (958290.9999999611 1944213.999999916),14.5,0,0,0,0,0,1,82,6,24,4,136,9.0,51.0,23.0
13,13,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,22세,상해없음,이륜,남,34세,경상,212799.86349931,449661.46416866,2021-01-26 15:00:00,1,15,POINT (968626.9999999655 1949730.9999999274),8.5,0,0,1,12,0,2,8,34,5,2,81,7.2,74.0,56.0
14,14,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,30세,상해없음,자전거,남,38세,경상,184094.80107235,453969.47014405,2021-01-27 21:00:00,2,21,POINT (939955.9999999618 1954189.9999999017),38.0,0,0,0,0,0,0,0,0,0,0,16,2.3,29.0,15.0
15,15,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31세,경상,승용,남,42세,상해없음,211079.92348803,443872.99327353,2021-01-29 08:00:00,4,8,POINT (966876.9999999591 1943953.9999999204),22.0,0,0,0,0,0,2,10,45,7,7,84,-11.0,36.0,5.0
16,16,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,29세,상해없음,보행자,여,27세,경상,193156.76708527,451047.57015874,2021-01-29 09:00:00,4,9,POINT (948998.9999999615 1951220.9999999187),23.0,0,0,0,0,0,0,24,0,7,4,130,-10.7,32.0,6.0
17,17,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,21세,상해없음,보행자,여,26세,경상,192662.24611444,449793.46119684,2021-01-29 15:00:00,4,15,POINT (948497.9999999607 1949969.9999999157),51.5,0,0,1,0,0,2,86,0,13,3,104,-4.7,22.0,7.0
18,18,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,31세,경상,기타불명,기타불명,미분류,기타불명,210980.23148626,443807.4375859,2021-01-30 19:00:00,5,19,POINT (966776.99999996 1943888.999999926),0.0,0,0,0,0,0,2,10,45,7,5,80,1.6,53.0,40.0
19,19,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,23세,경상,승용,남,58세,상해없음,204034.84601629,451263.50110506,2021-01-31 18:00:00,6,18,POINT (959873.9999999652 1951378.9999999232),0.0,0,0,1,4,0,1,0,0,15,7,93,9.3,49.0,16.0
20,20,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,여,58세,부상신고,209548.20665913,445210.39584982,2021-02-01 17:00:00,0,17,POINT (965352.9999999612 1945298.9999999262),0.0,0,0,0,0,0,4,42,8,4,5,61,20.125,58.0,20.166666666666664
21,21,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,31세,기타불명,보행자,여,18세,부상신고,193045.24896177,450196.65161377,2021-02-02 16:00:00,1,16,POINT (948882.9999999643 1950370.9999999173),0.0,0,0,0,0,0,1,321,0,11,7,154,20.125,58.0,20.166666666666664
22,22,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,27세,상해없음,이륜,남,28세,경상,203115.57331755,445037.16264239,2021-02-02 19:00:00,1,19,POINT (958921.9999999586 1945159.9999999173),0.0,0,0,0,0,0,0,37,113,3,6,85,20.125,58.0,20.166666666666664
23,23,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,-,흐림,교차로 - 교차로안,개인형이동수단(PM),남,32세,부상신고,승용,남,46세,상해없음,193518.38718914,452837.17872426,2021-02-06 17:00:00,5,17,POINT (949369.9999999581 1953007.999999914),65.0,0,0,0,0,0,3,2,0,8,0,113,20.125,59.0,99.0
24,24,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,24세,부상신고,자전거,여,23세,경상,212472.73483989,444202.52168025,2021-02-06 19:00:00,5,19,POINT (968270.9999999651 1944275.9999999264),16.0,0,1,1,7,0,2,6,72,5,2,60,20.125,76.0,109.0
25,25,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,23세,부상신고,승용,남,53세,상해없음,207524.47793743,445383.71647876,2021-02-07 00:00:00,6,0,POINT (963330.9999999654 1945482.9999999271),1.5,0,1,0,0,0,2,42,33,2,3,46,20.125,83.0,104.0
26,26,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,경상,승용,여,46세,상해없음,201469.51643614,446055.8192961,2021-02-07 19:00:00,6,19,POINT (957281.9999999608 1946186.99999992),10.5,0,0,0,0,0,2,32,3,6,4,52,20.125,22.0,3.0
27,27,부상신고사고,0,0,0,1,차대차 - 측면충돌,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,51세,부상신고,승용,남,60세,상해없음,184545.07985415,443412.92547105,2021-02-08 15:00:00,0,15,POINT (940349.9999999509 1943634.999999902),182.0,0,2,0,12,1,0,3,2,7,2,115,1.2,21.0,7.0
28,28,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,19세,상해없음,보행자,여,24세,경상,202140.93867239,446590.59585537,2021-02-13 18:00:00,5,18,POINT (957955.9999999636 1946717.9999999164),25.0,0,0,0,0,0,0,121,126,0,4,61,13.2,28.0,63.0
29,29,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,22세,상해없음,보행자,남,4세,경상,206162.98445696,450267.42286408,2021-02-13 22:00:00,5,22,POINT (961995.9999999667 1950371.9999999201),8.5,0,0,0,0,0,1,1,1,9,1,64,5.6,57.0,59.0
30,30,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,27세,경상,승용,남,41세,상해없음,202745.15019596,443394.54970507,2021-02-14 11:00:00,6,11,POINT (958542.9999999537 1943519.9999999152),10.5,0,0,0,0,0,1,20,48,12,4,132,9.1,50.0,91.0
31,31,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,49세,상해없음,보행자,여,36세,경상,207676.66412409,448747.86517253,2021-02-15 13:00:00,0,13,POINT (963500.9999999598 1948844.9999999204),20.0,0,0,1,0,0,3,70,17,6,2,86,1.9,55.0,14.0
32,32,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,44세,부상신고,화물,남,44세,상해없음,209282.44669191,444956.88290764,2021-02-15 14:00:00,0,14,POINT (965085.9999999593 1945046.999999924),19.0,0,0,0,0,0,0,29,15,6,5,61,2.8,47.0,9.0
33,33,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,19세,상해없음,보행자,여,31세,부상신고,191678.37882273,443674.89931137,2021-02-18 21:00:00,3,21,POINT (947481.9999999582 1943858.9999999125),126.5,0,1,0,0,0,0,20,30,10,5,113,-2.4,36.0,14.0
34,34,중상사고,0,1,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,중상,,,,,206423.81465863,450883.05409184,2021-02-19 12:00:00,4,12,POINT (962259.999999962 1950985.9999999157),21.5,0,0,0,0,0,2,7,16,8,3,70,3.3,47.0,15.0
35,35,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,기타,단일로 - 지하차도(도로)내,개인형이동수단(PM),여,48세,경상,승용,남,31세,상해없음,202859.7507904,445926.15348009,2021-02-21 19:00:00,6,19,POINT (958670.9999999608 1946049.999999915),18.0,0,0,0,0,0,1,16,182,5,5,59,13.4,50.0,25.0
36,36,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,19세,상해없음,자전거,남,48세,경상,205695.26367432,449427.60330345,2021-02-22 09:00:00,0,9,POINT (961523.9999999608 1949534.9999999176),14.5,0,1,0,0,0,2,10,0,6,4,94,6.8,78.0,28.0
37,37,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,57세,부상신고,승용,남,71세,상해없음,203576.99800809,453645.00473371,2021-02-25 15:00:00,3,15,POINT (959428.9999999625 1953761.9999999271),191.0,0,0,1,14,0,0,7,0,8,5,99,7.4,23.0,37.0
38,38,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,25세,경상,승합,남,55세,상해없음,206168.51658876,452424.30820349,2021-02-25 18:00:00,3,18,POINT (962012.9999999629 1952527.9999999206),351.0,0,0,0,0,0,0,20,0,5,0,77,6.9,30.0,33.0
39,39,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,26세,상해없음,보행자,여,26세,경상,204368.83852665,446774.50472613,2021-03-02 09:00:00,1,9,POINT (960183.9999999587 1946889.999999919),17.5,0,0,0,0,0,3,13,140,5,4,55,20.125,58.0,20.166666666666664
40,40,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,23세,상해없음,보행자,남,20세,중상,206470.53249972,448870.50322933,2021-03-03 09:00:00,2,9,POINT (962295.9999999634 1948973.9999999246),22.5,0,0,0,0,0,5,6,3,6,3,69,20.125,58.0,20.166666666666664
41,41,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,49세,상해없음,보행자,남,18세,중상,209984.0826093,446396.1862762,2021-03-05 13:00:00,4,13,POINT (965794.9999999654 1946481.9999999239),26.0,0,0,1,0,0,3,26,9,6,5,54,14.9,40.0,23.0
42,42,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,30세,상해없음,보행자,남,52세,경상,205665.8524349,448562.10399424,2021-03-08 08:00:00,0,8,POINT (961489.9999999596 1948669.9999999166),30.0,0,0,0,0,0,1,10,4,10,3,76,0.7,89.0,25.0
43,43,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,30세,부상신고,승용,남,60세,상해없음,207197.01569247,445257.92715063,2021-03-08 09:00:00,0,9,POINT (963002.9999999645 1945358.9999999178),23.0,0,0,0,0,0,2,14,21,3,4,45,1.2,86.0,34.0
44,44,부상신고사고,0,0,0,1,차대차 - 기타,중앙선침범,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31세,부상신고,승용,남,54세,기타불명,190285.64783478,442205.94690148,2021-03-09 19:00:00,1,19,POINT (946081.9999999522 1942397.9999999064),183.5,0,0,0,0,0,3,25,18,14,3,167,8.8,52.0,6.0
45,45,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,44세,경상,화물,남,45세,상해없음,206891.07058281,457071.99969085,2021-03-10 20:00:00,2,20,POINT (962759.9999999675 1957169.99999992),378.0,0,2,1,4,0,3,29,0,13,4,78,9.5,51.0,125.0
46,46,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,28세,중상,,,,,209138.77912725,445448.31647708,2021-03-11 03:00:00,3,3,POINT (964944.9999999618 1945538.999999925),0.0,0,0,0,0,0,4,23,2,5,6,70,3.9,74.0,119.0
47,47,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,29세,중상,승용,남,23세,상해없음,203675.09835777,446297.63100869,2021-03-11 17:00:00,3,17,POINT (959487.9999999627 1946416.9999999162),23.5,0,0,0,0,0,1,42,108,7,5,62,13.9,30.0,83.0
48,48,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,33세,상해없음,보행자,여,54세,중상,201423.64215427,452236.99646211,2021-03-11 23:00:00,3,23,POINT (957268.9999999683 1952365.9999999201),9.5,0,0,0,0,0,2,11,7,10,10,105,8.5,43.0,70.0
49,49,중상사고,0,1,0,0,차대차 - 측면충돌,기타,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,25세,중상,승합,남,33세,상해없음,202481.68015025,446664.43513281,2021-03-11 23:00:00,3,23,POINT (958296.9999999597 1946789.9999999155),7.0,0,0,0,0,0,1,46,94,7,3,55,9.1,45.0,59.0
50,50,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,23세,상해없음,보행자,여,32세,경상,192928.89386671,450066.98339038,2021-03-13 15:00:00,5,15,POINT (948765.9999999607 1950241.999999911),81.0,0,0,0,0,0,1,321,0,11,4,139,15.2,35.0,56.0
51,51,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,19세,상해없음,보행자,여,62세,중상,200726.33874998,446411.0102278,2021-03-13 18:00:00,5,18,POINT (956540.999999956 1946545.9999999194),21.0,0,1,1,0,0,2,0,0,4,1,33,11.6,48.0,35.0
52,52,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,19세,상해없음,보행자,남,28세,경상,193195.59467858,449954.35824098,2021-03-13 22:00:00,5,22,POINT (949031.9999999556 1950127.999999913),25.5,0,1,0,0,0,1,173,0,11,6,154,10.0,58.0,54.0
53,53,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,흐림,교차로 - 교차로부근,개인형이동수단(PM),여,32세,경상,이륜,남,53세,상해없음,192671.54754631,450489.77673889,2021-03-14 22:00:00,6,22,POINT (948510.9999999607 1950665.9999999122),19.0,0,0,0,0,0,0,20,0,15,8,138,9.9,60.0,66.0
54,54,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,31세,경상,승용,여,54세,경상,205220.70852138,461708.94223036,2021-03-15 17:00:00,0,17,POINT (961114.9999999697 1961813.9999999278),144.0,0,0,0,4,0,5,95,3,16,2,104,17.9,34.0,48.0
55,55,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),여,15세,기타불명,보행자,여,70세,경상,211255.81155939,450118.43986863,2021-03-19 16:00:00,4,16,POINT (967085.9999999638 1950195.9999999297),30.0,0,0,0,0,0,1,11,32,8,1,49,20.0,27.0,25.0
56,56,경상사고,0,0,1,0,차량단독 - 기타,신호위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,40세,경상,,,,,204300.17554683,446894.1871695,2021-03-20 02:00:00,5,2,POINT (960115.9999999625 1947009.9999999204),0.0,0,0,0,0,0,3,13,140,5,4,56,12.6,52.0,36.0
57,57,부상신고사고,0,0,0,1,차대차 - 기타,기타,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,33세,부상신고,승용,남,65세,상해없음,193659.32944003,444391.69218941,2021-03-22 02:00:00,0,2,POINT (949465.9999999602 1944564.9999999066),78.0,0,0,0,0,0,2,23,0,13,2,128,5.3,53.0,3.0
58,58,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,51세,상해없음,보행자,남,43세,중상,213492.53656655,443940.83095662,2021-03-23 10:00:00,1,10,POINT (969288.9999999611 1944008.9999999197),21.5,0,1,0,0,0,3,13,26,8,2,58,7.4,66.0,51.0
59,59,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,19세,경상,승용,남,49세,상해없음,209001.63675376,445276.51936043,2021-03-23 12:00:00,1,12,POINT (964806.9999999593 1945367.9999999227),28.0,0,0,0,0,0,4,23,2,5,6,67,12.7,51.0,55.0
60,60,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,24세,상해없음,이륜,남,26세,경상,204886.87428525,444735.45081213,2021-03-23 13:00:00,1,13,POINT (960690.9999999596 1944848.9999999208),29.0,0,0,0,0,0,1,23,153,4,3,72,14.6,45.0,52.0
61,61,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,25세,상해없음,자전거,남,38세,경상,209998.01066003,445846.03968996,2021-03-24 19:00:00,2,19,POINT (965805.9999999645 1945931.99999992),33.5,0,0,0,0,0,1,34,45,6,6,60,12.7,53.0,5.0
62,62,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,28세,기타불명,보행자,여,60세,경상,186219.77104186,450928.63629834,2021-03-24 22:00:00,2,22,POINT (942063.9999999629 1951138.9999999122),25.0,0,0,0,0,0,1,0,12,4,1,122,11.0,62.0,12.0
63,63,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,22세,상해없음,보행자,남,80세,경상,185266.91834961,448764.75985787,2021-03-25 13:00:00,3,13,POINT (941099.9999999565 1948980.9999999052),268.5,0,0,0,0,0,3,34,16,7,1,68,17.5,41.0,61.0
64,64,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,상해없음,자전거,남,37세,중상,210451.60365249,444638.96455605,2021-03-25 22:00:00,3,22,POINT (966252.9999999659 1944722.9999999236),19.0,0,0,0,0,0,2,0,18,0,6,61,6.3,86.0,61.0
65,65,중상사고,0,1,0,1,차대사람 - 차도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,36세,부상신고,보행자,여,51세,중상,201141.134761,446856.38814476,2021-03-26 08:00:00,4,8,POINT (956957.9999999636 1946988.9999999239),29.5,0,0,0,0,0,2,0,0,3,3,52,6.7,80.0,133.0
66,66,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,27세,부상신고,승용,남,72세,상해없음,206889.95073431,455779.47972787,2021-03-26 20:00:00,4,20,POINT (962751.9999999738 1955877.9999999255),411.5,0,1,0,0,0,4,32,0,15,5,77,14.5,40.0,118.0
67,67,중상사고,0,1,0,1,차대차 - 측면충돌,안전운전불이행,-,비,단일로 - 기타,개인형이동수단(PM),여,16세,중상,승용,남,34세,상해없음,199280.48609729,443076.03081446,2021-03-28 22:00:00,6,22,POINT (955077.9999999623 1943219.999999912),94.0,0,0,0,0,0,3,11,0,15,4,105,10.8,82.0,36.0
68,68,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,경상,자전거,남,35세,경상,204596.74727171,462405.89250748,2021-03-29 13:00:00,0,13,POINT (960494.999999971 1962513.999999922),127.5,0,0,0,0,0,2,0,0,14,3,105,15.8,32.0,196.0
69,69,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,16세,부상신고,승용,여,39세,상해없음,201879.99129468,442983.79529018,2021-03-29 15:00:00,0,15,POINT (957675.9999999532 1943113.9999999164),139.5,0,1,0,0,0,1,3,0,7,2,111,15.0,31.0,157.0
70,70,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,13세,상해없음,보행자,여,40세,경상,202336.77905318,447387.94936319,2021-03-29 19:00:00,0,19,POINT (958155.9999999632 1947513.9999999206),30.5,0,0,0,0,0,2,26,156,6,1,49,11.2,45.0,105.0
71,71,경상사고,0,0,1,0,차대차 - 기타,신호위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,41세,경상,이륜,남,44세,상해없음,190613.05038041,447425.66743381,2021-03-29 20:00:00,0,20,POINT (946436.999999959 1947613.9999999062),145.5,0,0,0,0,0,1,11,21,7,4,97,11.2,34.0,39.0
72,72,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세,기타불명,보행자,여,20세,경상,194204.54338214,450789.04269457,2021-03-30 23:00:00,1,23,POINT (950044.9999999576 1950956.9999999162),9.5,0,2,1,0,0,5,196,7,21,7,130,11.2,35.0,20.0
73,73,중상사고,0,1,1,0,차대차 - 기타,불법유턴,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,36세,중상,승용,남,37세,상해없음,202133.36919685,445002.93266688,2021-03-30 23:00:00,1,23,POINT (957939.9999999558 1945130.9999999152),7.5,0,0,0,0,0,3,98,0,12,6,104,8.0,49.0,8.0
74,74,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,39세,기타불명,자전거,남,34세,경상,196496.11451308,446896.72434754,2021-04-01 02:00:00,3,2,POINT (952314.9999999616 1947053.9999999187),77.0,0,0,0,0,0,0,0,0,8,1,46,15.4,51.0,31.0
75,75,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,여,36세,경상,189977.92162417,447028.14174972,2021-04-01 08:00:00,3,8,POINT (945799.999999954 1947219.9999999101),114.5,0,1,0,4,0,4,24,52,9,5,84,12.8,43.0,9.0
76,76,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,상해없음,보행자,여,52세,부상신고,193684.84490355,452951.10788785,2021-04-01 16:00:00,3,16,POINT (949536.9999999632 1953120.9999999139),74.5,0,0,0,0,0,0,1,0,0,0,111,22.9,14.0,14.0
